"reviewPriority","recommendation","query","expectedTitle","top1Title","flags","titleSimilarity","entryBucket","finalRank","bestCorrectRrfRank","failureRisk","supportPattern","queryType","queryScope","themeFamily","expectedOtid","top1Otid","rationale"
"high","verify_eval_boundary_or_expected_otid","外语类保送生面试的整个流程是怎样的 从打印准考证到面试结束","中山大学关于2026年外语类保送生面试考核安排的通知","中山大学关于2026年外语类保送生面试考核安排的通知","no_explicit_year|same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","already_top1","1","3","needs_ot_context","ot_required","standard","policy_overview","面试流程","otid_026bbae2756a4096","otid_026bbae2756a4096","expected document is year-specific but query has no explicit year; expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"high","add_year_or_replace_case","通过初审了，中山大学高水平运动队测试哪天在广州校区考？","中山大学关于2021年高水平运动队招生测试安排的通知","中山大学关于2022年高水平运动队招生测试安排的通知","no_explicit_year|competing_year_version|same_family_version_chain|near_duplicate_title","1","aggregation_drop","2","1","best_kpid_confusion","single_kp","situational","time_location","高水平运动队招生测试","otid_14ff3c5f13ac4c49","otid_cb15bb6977d54dca","expected document is year-specific but query has no explicit year; top1 is another year/version in a competing document chain; expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"high","add_year_or_replace_case","申请答辩 需要提交哪些电子版材料到指定邮箱","关于2022年下半年同等学力人员申请硕士学位论文答辩的通知","关于2023年上半年同等学力人员申请硕士学位论文答辩的通知","no_explicit_year|competing_year_version|same_family_version_chain|near_duplicate_title","0.84","aggregation_drop","3","2","best_kpid_confusion","single_kp","situational","procedure","同等学力答辩","otid_5c9fb358e9324bb6","otid_3be934ddb5624284","expected document is year-specific but query has no explicit year; top1 is another year/version in a competing document chain; expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"high","add_year_or_replace_case","同等学力申请硕士学位论文答辩的整个流程是怎样的 从要要什么条件到最终获得学位","关于2020年同等学力人员申请硕士学位论文答辩的通知","关于2021年上半年同等学力人员申请硕士学位论文答辩的通知","no_explicit_year|competing_year_version|same_family_version_chain|near_duplicate_title","0.7917","aggregation_drop","8","4","needs_ot_context","ot_required","standard","policy_overview","全流程概述","otid_efde91d4cd6b4ecb","otid_4a5e9eb0f0fc4cc1","expected document is year-specific but query has no explicit year; top1 is another year/version in a competing document chain; expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"high","add_year_or_replace_case","同等学力申请硕士学位论文答辩需要满足要什么条件","关于2020年同等学力人员申请硕士学位论文答辩的通知","关于2024年下半年同等学力人员申请硕士学位论文答辩的通知","no_explicit_year|competing_year_version|same_family_version_chain|near_duplicate_title","0.7917","aggregation_drop","12","20","document_miss","single_kp","standard","eligibility_condition","同等学力答辩","otid_efde91d4cd6b4ecb","otid_c19ddd94e52346c1","expected document is year-specific but query has no explicit year; top1 is another year/version in a competing document chain; expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"high","add_year_or_replace_case","访学资助金额和周期","关于下达2018年中山大学博士生国外访学与合作研究项目资助计划的通知","关于启动2022年中山大学博士生国外访学与合作研究项目资助计划的通知","no_explicit_year|competing_year_version|under_anchored_short_query|same_family_version_chain","0.7778","early_late","6","35","requires_multi_kp","multi_kp","short_keyword","fact_detail","访学资助细节","otid_8f3b2fa91c544f99","otid_afd67d4b1e9e427e","expected document is year-specific but query has no explicit year; top1 is another year/version in a competing document chain; expected and top1 titles are in the same topic family; query is short and lacks anchoring constraints."
"high","verify_eval_boundary_or_expected_otid","2025-2026学年软件工程学院仲明助学金申请 电子版材料提交到哪个邮箱","软件工程学院关于开展2025-2026学年本科生校级捐赠助学金（第一批）评选工作的通知","软件工程学院关于开展2025-2026学年本科生校级捐赠助学金（第一批）评选工作的通知","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","already_top1","1","1","best_kpid_confusion","multi_kp","standard","procedure","捐赠助学金申请流程","otid_9a72545adb084d1d","otid_9a72545adb084d1d","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"high","verify_eval_boundary_or_expected_otid","软件工程学院2025年博士改报志愿的完整政策和要求是什么","中山大学软件工程学院2025年以“申请-考核”制招收博士研究生改报志愿公告","中山大学软件工程学院2025年以“申请-考核”制招收博士研究生改报志愿公告","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","already_top1","1","5","needs_ot_context","ot_required","standard","policy_overview","博士招生改报概览","otid_b8a98fa84f504d63","otid_b8a98fa84f504d63","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"high","add_year_or_replace_case","申请研究生国家奖学金需要满足哪些基本条件？","研究生院关于做好2024学年研究生国家奖学金评选工作的补充通知","研究生院关于做好2022学年研究生各项奖学金评选工作的通知","no_explicit_year|competing_year_version|same_family_version_chain","0.6429","aggregation_drop","3","2","best_kpid_confusion","single_kp","standard","eligibility_condition","研究生国家奖学金评选","otid_1a4309ab66454772","otid_7a69402e31a3446d","expected document is year-specific but query has no explicit year; top1 is another year/version in a competing document chain; expected and top1 titles are in the same topic family; correct document entered candidate retrieval but lost final aggregation."
"high","add_year_or_replace_case","资格认定审核步骤","关于2019年在职临床医师以研究生毕业同等学力申请临床医学博士专业学位资格认定的 通知","关于2023年下半年同等学力人员申请临床医学博士专业学位论文答辩的通知","no_explicit_year|competing_year_version|under_anchored_short_query","0.3696","aggregation_drop","4","19","best_kpid_confusion","multi_kp","short_keyword","procedure","资格认定审查流程","otid_ffd4fbd63cc34a41","otid_dcf55ee630fa41da","expected document is year-specific but query has no explicit year; top1 is another year/version in a competing document chain; query is short and lacks anchoring constraints; correct document entered candidate retrieval but lost final aggregation."
