"dataset","reviewPriority","proposedAction","recommendation","query","expectedTitle","top1Title","expectedOtid","top1Otid","finalRank","entryBucket","flags","titleSimilarity","rationale"
"InDomain","high","manual_review_same_family","expand_acceptable_otids_or_replace_case","按2019年下半年同等学力临床医学博士答辩通知，如果想完成答辩并领取学位证书，应该怎么规划时间？","关于2019年下半年同等学力人员申请临床医学博士专业学位论文答辩的通知","关于2021年下半年同等学力人员申请临床医学博士专业学位论文答辩的通知","otid_14f1526dcec041d6","otid_e4227af2d62a4f20","2","aggregation_drop","same_family_version_chain|near_duplicate_title","1","expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"Main","high","manual_review_same_family","expand_acceptable_otids_or_replace_case","2025-2026学年软件工程学院仲明助学金申请 电子版材料提交到哪个邮箱","软件工程学院关于开展2025-2026学年本科生校级捐赠助学金（第一批）评选工作的通知","软件工程学院关于开展2025-2026学年本科生校级捐赠助学金（第二批）评选工作的通知","otid_9a72545adb084d1d","otid_2c2fffdc61b0465f","2","aggregation_drop","same_family_version_chain|near_duplicate_title","0.8788","expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"InDomain","high","manual_review_same_family","expand_acceptable_otids_or_replace_case","2023年上半年同等学力申请硕士学位论文答辩的网上申请截止日期是哪天？","关于2023年上半年同等学力人员申请硕士学位论文答辩的通知","关于2023年下半年同等学力人员申请硕士学位论文答辩的通知","otid_3be934ddb5624284","otid_c7dc0e8b08b445e6","3","aggregation_drop","same_family_version_chain|near_duplicate_title","0.84","expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"InDomain","high","manual_review_same_family","expand_acceptable_otids_or_replace_case","2020学年春季学期开学注册通知中，2021年寒假后的研究生注册规定是什么？","关于在校研究生2021年寒假及2020学年春季学期开学注册有关事项的通知","关于在校研究生2021学年寒假放假及2021学年春季学期开学注册有关事项的通知","otid_9616403d7b39495c","otid_9cd645190fe2468b","2","aggregation_drop","same_family_version_chain|near_duplicate_title","0.8333","expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"Main","high","manual_review_same_family","expand_acceptable_otids_or_replace_case","2020年同等学力申请硕士学位论文答辩需要满足哪些条件？","关于2020年同等学力人员申请硕士学位论文答辩的通知","关于2021年下半年同等学力人员申请硕士学位论文答辩的通知","otid_efde91d4cd6b4ecb","otid_97636a32f1f941e1","2","aggregation_drop","same_family_version_chain|near_duplicate_title","0.7917","expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"BlindExtOOD","medium","manual_review_same_family","keep_as_algorithm_case_after_dataset_review","2022年人工智能学院博士申请考核招生要求中 报名时间、申请资格和材料都有哪些要求","中山大学人工智能学院2022年以“申请-考核”制招收博士研究生招生简章","中山大学人工智能学院2023年以“申请-考核”制招收博士研究生实施办法","otid_5e4e1434da5748eb","otid_dc2fbd2f88f7453b","5","aggregation_drop","same_family_version_chain","0.6923","expected and top1 titles are in the same topic family; correct document entered candidate retrieval but lost final aggregation."
"BlindExtOOD","medium","manual_review_same_family","manual_review","如果一个学生想申请人工智能学院2022年博士项目 他需要经过哪些考核步骤","中山大学人工智能学院2022年以“申请-考核”制招收博士研究生实施办法","中山大学人工智能学院2022年以“申请-考核”制招收博士研究生综合考核通知","otid_c5344a7fc3bc439a","otid_392eac0b27fa4b09","","unknown","same_family_version_chain","0.6667","expected and top1 titles are in the same topic family."
"BlindExtOOD","medium","manual_review_same_family","keep_as_algorithm_case_after_dataset_review","2022年人工智能学院夏令营的怎么弄和活动安排是什么","中山大学人工智能学院2022年全国优秀大学生夏令营活动报名通知","中山大学人工智能学院2022年全国优秀大学生夏令营入营通知","otid_c7828d5c12cc4c90","otid_cf0fb6da0f1a4b18","2","aggregation_drop","same_family_version_chain","0.6667","expected and top1 titles are in the same topic family; correct document entered candidate retrieval but lost final aggregation."
"BlindExtOOD","medium","manual_review_same_family","keep_as_algorithm_case_after_dataset_review","人工智能学院2021年博士申请考核制招生的要要什么条件和材料要求是什么","中山大学人工智能学院2021年以“申请-考核”制招收博士研究生招生简章","中山大学人工智能学院2021年以“申请-考核”制招收博士研究生综合考核通知","otid_1fe8155fa2f64320","otid_06f7620140244798","4","aggregation_drop","same_family_version_chain","0.6667","expected and top1 titles are in the same topic family; correct document entered candidate retrieval but lost final aggregation."
"BlindExtOOD","medium","manual_review_same_family","manual_review","我打算报中山大学人工智能学院2021年的博士，综合考核大概什么时候搞？","中山大学人工智能学院2021年以“申请-考核”制招收博士研究生实施办法","中山大学人工智能学院2021年以“申请-考核”制招收博士研究生综合考核通知","otid_9911c0374cdd4ce4","otid_06f7620140244798","","unknown","same_family_version_chain","0.6667","expected and top1 titles are in the same topic family."
"BlindExtOOD","medium","manual_review_same_family","manual_review","中山大学人工智能学院位于哪里，2023年博士申请的综合考核在什么时间？","中山大学人工智能学院2023年以“申请-考核”制招收博士研究生实施办法","中山大学人工智能学院2023年以“申请-考核”制招收博士研究生综合考核结果公示","otid_dc2fbd2f88f7453b","otid_c495d5e1d55d4213","5","early_late","same_family_version_chain","0.6207","expected and top1 titles are in the same topic family."
